garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
2,0,0,0,0,1,0,2,2001,549900,1,8,2018,38,0,3,2,0,0,0,0,0,10105,3794,1,0,1,1,2.133333333,7,1277,16,4,4,2
0,0,0,1,0,1,1,0,1983,690000,3,1,2019,36,0,5,1,0,0,0,0,0,10367,2967,1,0,1,1,2.933333333,7,1523,17,3,4,2
0,0,0,1,0,1,1,0,2014,584900,1,3,2019,43,0,3,2,0,0,0,0,0,7501,3787,1,0,1,1,3.3,7.666666667,1259,14,4,5,2
2,0,0,0,0,1,1,2,2011,287500,3,6,2018,47,0,3,2,0,0,0,0,0,7623,2314,1,0,1,1,1.333333333,2.666666667,1063,14,3,5,1
0,0,0,1,0,1,1,0,1977,599800,2,9,2019,40,0,7,1,2,1,0,1,0,11325.6,2753,0,1,1,1,0.833333333,8.666666667,1632,16,3,5,1
0,0,0,1,0,1,1,0,2016,325000,1,9,2018,22,0,4,1,0,0,0,0,0,6185,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2
2,0,0,0,0,1,1,2,2006,350000,2,8,2020,27,0,4,3,1,1,0,1,0,5140,1791,1,0,1,1,1.633333333,8.333333333,1481,16,3,3,2
0,0,0,1,0,1,1,0,2001,574900,1,3,2018,1,0,3,1,0,0,0,0,0,11325.6,3338,1,0,1,1,2.133333333,7,1277,16,4,4,2
2,0,0,0,0,1,1,2,2013,374000,3,4,2019,25,0,3,2,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2
0,0,0,1,0,1,1,0,1977,699900,3,10,2019,39,0,3,1,1,1,0,1,0,27442.8,2997,0,1,1,1,0.833333333,8.666666667,1632,16,3,4,1
0,0,0,1,0,1,1,0,2017,205000,2,9,2019,22,0,3,1,0,0,0,1,0,7274,1225,1,0,1,1,2.033333333,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,2002,425000,3,9,2020,120,0,3,2,1,2,0,1,0,9670,2864,1,0,1,1,2.066666667,7,1277,16,3,5,1
0,0,0,1,0,1,1,0,1984,425000,1,7,2019,1,0,7,1,0,2,0,1,0,3920,1573,1,0,1,1,3.433333333,7,1177,16,2,3,1
2,0,0,0,0,1,0,2,1988,684000,3,10,2020,55,0,3,2,1,1,0,0,0,10454,2656,1,0,1,1,1.2,9,1616,16,3,4,2
2,0,0,0,0,1,0,2,2002,359965,1,7,2020,40,0,4,3,2,1,0,1,0,5140,1975,1,0,1,1,2,8.333333333,1481,16,3,4,2
0,1,0,1,0,1,1,0,1971,120000,7,6,2018,23,0,1,1,0,0,0,0,0,9452,1745,1,0,1,1,2.466666667,3.666666667,480,14,2,4,1
0,0,0,1,0,1,1,0,2011,225000,5,10,2018,34,0,4,1,0,0,0,0,0,8276,1375,1,0,1,1,1.333333333,2.666666667,1063,14,2,3,1
0,0,0,1,0,1,1,0,2017,388990,3,10,2018,5,0,4,1,0,0,0,0,0,6969,2502,1,0,1,1,3.1,3.666666667,1532,12,3,4,1
2,0,0,0,0,1,0,2,1972,435000,2,10,2018,19,0,3,2,0,0,0,0,0,16988.4,2313,0,1,1,1,1.1,8.666666667,1632,16,2,4,1
2,0,0,0,0,0,0,2,1989,795000,2,7,2020,37,0,7,2,0,1,0,1,0,15246,2700,1,0,1,1,2.5,7,1523,17,3,4,2
4,0,0,0,0,1,1,4,2016,218800,2,5,2019,44,0,3,2,0,0,0,0,0,5706,1480,1,0,1,1,1.833333333,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2015,200000,1,12,2019,24,0,3,1,2,1,0,0,0,6194,1321,1,0,1,1,2.233333333,3,1457,13,3,3,2
0,0,0,1,0,1,1,0,1989,368500,2,3,2018,19,0,0,1,0,0,0,0,0,7230,2267,1,0,1,1,1.2,8,1275,15,2,4,1
2,0,0,0,0,1,0,2,2018,454500,1,10,2020,44,0,1,2,2,2,0,1,0,5749,2508,1,0,1,2,2.933333333,3.666666667,1085,11,3,3,1
